sij2019	postal_code	share
302	170	0.0140177401272107
302	500	0.142696830174429
302	530	0.44158650795371
302	540	0.40169892174465
303	540	0.950511025627515
303	570	0.0494889743724854
304	500	0.0536152892878433
304	540	0.472875225677416
304	580	0.473509485034741
305	540	0.902958033719877
305	570	0.0970419662801226
306	540	0.555266993135176
306	580	0.444733006864824
307	540	0.0473643328290379
307	570	0.169667935246414
307	580	0.782967731924548
308	570	0.0181183172075441
308	580	0.936160407665405
308	810	0.0457212751270509
321	170	0.11838051157344
321	530	0.88161948842656
322	530	1
323	500	0.735855017218964
323	530	0.264144982781036
331	250	0.0495632956739415
331	510	0.658304092351108
331	520	0.181852190838103
331	530	0.110280421136848
332	510	0.488306323424801
332	520	0.511693676575199
333	500	0.426524795188165
333	510	0.503139271128051
333	530	0.0703359336837836
341	500	0.555724747792204
341	510	0.444275252207796
342	510	0.663341190812761
342	520	0.336658809187239
343	510	0.813068469444745
343	520	0.186931530555255
344	500	0.0913147279185683
344	510	0.89521728817888
344	550	0.0106306163786881
344	580	0.0028373675238639
345	500	0.000532855998060036
345	510	0.0492205288007764
345	550	0.944949018519394
345	580	0.00529759668176998
346	510	0.0178600862526515
346	520	0.0567938204466075
346	550	0.925346093300741
351	500	0.0416946097284647
351	550	0.00426103115231968
351	580	0.954044359119216
352	550	0.642975558858587
352	580	0.357024441141413
353	550	0.795513638188963
353	580	0.204486361811037
354	550	0.123803193931784
354	560	0.0654754398254833
354	580	0.810721366242733
355	580	1
356	580	0.966574393053187
356	810	0.0334256069468128
361	520	0.503149269756481
361	550	0.0187328183802537
361	560	0.108505486118723
361	610	0.369612425744542
362	520	0.049193847624726
362	550	0.0301240948166859
362	560	0.920682057558588
363	560	0.531281072706567
363	600	0.0503561896419549
363	610	0.418362737651478
364	560	1
365	550	0.0417603827410695
365	560	0.857604234503677
365	580	0.0937610064810343
365	810	0.00687437627421882
366	560	0.992739086462756
366	610	0.00726091353724377
367	560	0.992018047525255
367	650	0.00357049415541504
367	710	0.00441145831933008
368	560	0.52767446045898
368	580	0.000234471127883916
368	790	0.280335170370329
368	800	0.172504832504905
368	810	0.0192510655379022
369	560	1
381	240	0.000589648211767612
381	610	0.989177686996991
381	620	0.0102326647912414
382	610	0.996917042347878
382	620	0.00308295765212201
383	600	0.69266117642405
383	610	0.18129369868987
383	620	0.10042037947351
383	640	0.0223923212941437
383	650	0.00323242411842654
384	600	0.980317577530063
384	650	0.0196824224699373
385	560	0.0871414457875732
385	600	0.714296408907715
385	610	0.00213262638289278
385	650	0.196429518921819
386	560	0.000114023950786384
386	610	0.999885976049214
1001	200	0.00258409711369084
1001	210	0.997415902886309
1002	210	1
1003	200	0.139813021893878
1003	210	0.860186978106122
1004	200	0.949984114643575
1004	210	0.0500158853564246
1005	180	0.00835600490961449
1005	200	0.991643995090386
1011	200	0.8483640836456
1011	210	0.149623708707047
1011	2160	0.00201220764735333
1012	200	0.888307719464445
1012	340	0.111692280535555
1013	200	0.9958627417231
1013	340	0.00413725827689972
1014	200	1
1021	200	0.211374201722344
1021	340	0.788625798277656
1022	340	0.999598388978873
1022	2150	0.000401611021126994
1023	330	0.039783820528202
1023	340	0.795695293159319
1023	2150	0.164520886312479
1024	330	0.944512217627901
1024	350	0.0205644444911664
1024	2150	0.0295533550167352
1024	2600	0.00536998286419732
1025	250	0.0473097013352294
1025	270	0.0022409860908398
1025	330	0.925103306671112
1025	340	0.0253460059028184
1026	330	0.92904722950852
1026	350	0.0709527704914802
1027	270	0.0569609933855632
1027	300	0.0690628300453646
1027	330	0.872082010521673
1027	350	0.00189416604739949
1031	350	1
1032	350	1
1033	300	0.000415249000285493
1033	350	0.5867903610143
1033	380	0.412794389985414
1034	300	0.344990050787735
1034	330	0.0119922788719757
1034	350	0.643017670340289
1035	330	0.000335600004872522
1035	350	0.999664399995128
1041	280	0.00241461181317632
1041	300	0.0124766180312154
1041	310	0.0493739004729574
1041	320	0.911918807034359
1041	350	0.0238160626482919
1042	300	0.211968910616084
1042	350	0.772164643744226
1042	380	0.0158664456396896
1043	320	0.694441755398868
1043	350	0.0473814098592388
1043	380	0.258176834741893
1044	320	0.928303655106751
1044	370	0.0387003731689915
1044	380	0.0311560749124509
1044	400	0.00183989681180658
1045	320	0.994226611252684
1045	400	0.00577338874731576
1046	310	0.696355524740527
1046	320	0.299338608825375
1046	620	0.00430586643409799
1047	320	1
1051	320	0.0367613858760495
1051	370	0.0908714452168559
1051	390	0.00384913240057482
1051	400	0.021298047403094
1051	420	0.0568564363084404
1051	440	0.790363552794985
1052	320	0.0349073072834507
1052	400	0.933311119184819
1052	440	0.0317815735317303
1053	400	1
1054	400	0.702315848726437
1054	420	0.0778750820804591
1054	430	0.0163661079245623
1054	440	0.203442961268542
1055	320	0.00149736594117871
1055	400	0.998502634058821
1056	320	0.254871881764772
1056	400	0.650913877368805
1056	620	0.0942142408664229
1061	350	0.341887937831329
1061	360	0.32050404459878
1061	370	0.181166513491281
1061	380	0.141594593077674
1061	2600	0.0148469110009358
1062	360	0.703940857891859
1062	370	0.287381906690629
1062	380	0.00867723541751197
1063	370	0.996382547634084
1063	380	0.00361745236591599
1064	370	0.992658427217071
1064	390	0.00734157278292919
1065	370	0.899740401945971
1065	390	0.100259598054029
1066	370	0.0079432683079774
1066	390	0.991072319589794
1066	440	0.000984412102228858
1067	370	0.845532105216014
1067	390	0.011406451668913
1067	440	0.143061443115073
1068	370	0.945992736974529
1068	380	0.054007263025471
1069	370	0.00620779882500968
1069	380	0.99379220117499
1071	380	1
1081	370	0.010480672078033
1081	390	0.98500819618421
1081	2650	0.00315347116597227
1081	2680	0.00135766057178452
1082	390	0.996686331675186
1082	2680	0.00331366832481373
1083	390	0.994497314982104
1083	1650	0.00550268501789554
1084	390	0.999341034863431
1084	420	0.00065896513656866
1085	370	0.0113553566804352
1085	390	0.988644643319565
1091	390	0.173604850423251
1091	410	0.703836235263603
1091	420	0.122558914313146
1092	390	0.141553341850107
1092	410	0.858446658149893
1093	390	0.222965466138085
1093	410	0.197102982784816
1093	1600	0.36144170477535
1093	1650	0.21848984630175
1094	410	0.786107268109065
1094	420	0.213892731890935
1101	390	0.00000992690004788823
1101	420	0.999990073099952
1102	420	1
1103	420	1
1104	420	0.980942938423358
1104	430	0.0190570615766425
1111	420	0.0161462899712565
1111	430	0.898172030227826
1111	660	0.085681679800917
1112	420	0.0534049238811942
1112	430	0.946595076118806
1113	420	0.0203885438914735
1113	430	0.875515226681964
1113	1610	0.104096229426562
1114	430	0.964497224362276
1114	1610	0.0355027756377235
1115	430	1
1116	410	0.00241697920838018
1116	420	0.987829172596978
1116	430	0.00000179338333238671
1116	1610	0.009752054811309
1121	400	0.0998106804333969
1121	620	0.570759792873338
1121	630	0.329429526693265
1122	400	0.12586922728779
1122	430	0.0391821930044529
1122	630	0.767327642301913
1122	660	0.067620937405844
1123	630	1
1124	630	0.951231292691744
1124	660	0.0487687073082556
1125	630	1
1126	620	0.980652398624779
1126	630	0.0193476013752208
1127	620	1
1128	630	1
1141	610	0.000178805886240884
1141	620	0.331607058509463
1141	640	0.668214135604296
1142	620	0.619162420821751
1142	630	0.00962483090371946
1142	640	0.37121274827453
1143	630	0.0759805485000282
1143	640	0.739520647324931
1143	660	0.00545189712906308
1143	680	0.179046907045978
1144	640	0.964802357435483
1144	680	0.0306951899301688
1144	720	0.00450245263434757
1145	640	1
1146	640	0.964922497786013
1146	650	0.0295648743340425
1146	720	0.00551262787994426
1147	640	0.16862476058036
1147	650	0.83137523941964
1148	640	0.0557378944490508
1148	650	0.937971563496894
1148	710	0.00137396601255596
1148	720	0.0049165760414988
1149	600	0.00523494319558968
1149	650	0.991421469246216
1149	710	0.00334358755819453
1151	600	0.000032551220526483
1151	620	0.000540458549417112
1151	640	0.20140110144518
1151	650	0.798025888784877
1161	630	0.129503704209063
1161	660	0.870496295790937
1162	660	1
1163	660	0.974900846693736
1163	670	0.0250991533062636
1164	630	0.0484116673418397
1164	660	0.95158833265816
1171	430	0.144645557150947
1171	660	0.00617131117727209
1171	670	0.232657618669737
1171	690	0.393599596049475
1171	1520	0.0332306645352531
1171	1690	0.189695252417316
1172	660	0.0219632333358656
1172	670	0.978036766664134
1173	670	0.0317805267144477
1173	690	0.968219473285552
1174	670	0.0091074337842686
1174	690	0.990892566215731
1175	660	0.00371331517461619
1175	670	0.995027702038468
1175	690	0.00125898278691543
1181	640	0.00200915267832315
1181	660	0.0551093035291042
1181	680	0.942881543792573
1182	660	0.0245427794116833
1182	670	0.0188151849872409
1182	680	0.956642035601076
1183	670	0.019000329392519
1183	680	0.287927086209108
1183	690	0.599567800346128
