i,j,@count_type,@count_dir,@c_count
42251,219609,0,0,577
42274,219784,0,0,630
42275,42273,0,0,710
42277,219236,0,0,360
42313,193969,0,0,160
42380,219203,0,0,708
42381,219203,0,0,390
42387,219192,0,0,530
42388,219113,0,0,440
42388,219192,0,0,270
42420,280027,0,0,350
42422,280027,0,0,400
42451,239494,0,0,630
42608,205617,0,0,1816
42751,209624,0,0,450
42752,209624,0,0,260
42753,209624,0,0,350
42818,209721,0,0,1100
42819,210054,0,0,510
42825,226267,0,0,700
50137,40277,0,0,822
50169,227267,0,0,1000
50208,306155,0,0,3367
50284,310573,0,0,2086
50343,50367,0,0,3840
50346,208831,0,0,1444
50358,228904,0,0,3530
50366,50342,0,0,2248
50437,310340,0,0,1891
185965,185969,0,0,662
185965,185975,0,0,782
185965,186693,0,0,624
185970,185972,0,0,567
185972,206425,0,0,100
185975,185965,0,0,764
185975,185977,0,0,340
185981,209390,0,0,2547
185983,185980,0,0,3223
186693,185965,0,0,886
193969,42313,0,0,230
193969,216043,0,0,1100
205499,219269,0,0,1906
205947,190884,0,0,2940
206425,185972,0,0,41
207542,219046,0,0,1369
207999,219807,0,0,680
208717,219162,0,0,340
208717,219163,0,0,430
208924,208925,0,0,573
208925,219779,0,0,470
209147,310552,0,0,730
209633,219192,0,0,490
209634,219113,0,0,640
209687,220279,0,0,670
209721,185972,0,0,588
209731,220092,0,0,702
210008,40279,0,0,724
210008,42144,0,0,253
210054,42819,0,0,889
210064,50347,0,0,2527
210098,208812,0,0,3565
210104,210106,0,0,4914
210129,208438,0,0,220
210136,220086,0,0,692
210138,219169,0,0,680
212698,310133,0,0,1577
216043,193969,0,0,500
216287,216110,0,0,480
216288,216289,0,0,130
216289,216288,0,0,500
216300,216289,0,0,1150
216364,216287,0,0,90
218580,218582,0,0,931
218582,218580,0,0,550
218600,219525,0,0,679
218619,218620,0,0,775
218620,218619,0,0,985
218629,218631,0,0,695
218631,218629,0,0,805
218633,310553,0,0,662
219113,42388,0,0,590
219113,209634,0,0,500
219113,219114,0,0,360
219114,219113,0,0,370
219162,208717,0,0,550
219163,208717,0,0,550
219169,210138,0,0,700
219192,42387,0,0,350
219192,42388,0,0,480
219192,209633,0,0,470
219192,220780,0,0,490
219203,42380,0,0,411
219203,42381,0,0,513
219203,219563,0,0,270
219236,209686,0,0,460
219431,219432,0,0,236
219432,219431,0,0,270
219521,219524,0,0,736
219524,219521,0,0,589
219524,227106,0,0,464
219525,218600,0,0,787
219563,219203,0,0,150
219609,42251,0,0,468
219610,219611,0,0,516
219611,219610,0,0,438
219784,42274,0,0,460
220086,210136,0,0,696
220087,220088,0,0,650
220088,220087,0,0,450
220092,209731,0,0,873
220279,209687,0,0,580
220614,42030,0,0,801
220614,227103,0,0,685
220614,227957,0,0,289
220643,228694,0,0,820
220780,219192,0,0,470
220796,220797,0,0,3370
223684,240460,0,0,311
223989,223990,0,0,3222
225717,227028,0,0,641
226140,310279,0,0,2791
226156,50357,0,0,3974
226186,310589,0,0,3388
226221,226225,0,0,629
226225,226221,0,0,464
226226,226301,0,0,305
226229,226230,0,0,455
226230,226229,0,0,340
226232,227678,0,0,197
226233,226235,0,0,397
226235,226233,0,0,346
226239,226240,0,0,433
226240,226239,0,0,422
226243,226245,0,0,508
226245,226243,0,0,403
226257,41055,0,0,250
226257,41056,0,0,480
226257,239494,0,0,290
226267,42825,0,0,400
226268,42822,0,0,600
226269,226270,0,0,210
226270,226269,0,0,410
226301,226226,0,0,340
226432,227558,0,0,390
226441,226442,0,0,662
226442,226441,0,0,785
226545,226547,0,0,401
226547,226545,0,0,335
226548,226550,0,0,310
226550,226548,0,0,350
226759,41976,0,0,680
227103,220614,0,0,747
227106,219524,0,0,425
227221,227222,0,0,1132
227340,227506,0,0,240
227341,227342,0,0,282
227342,227341,0,0,251
227442,226268,0,0,580
227461,65574,0,0,2195
227506,227340,0,0,281
227506,228050,0,0,275
227558,226432,0,0,311
227668,227670,0,0,355
227670,227668,0,0,348
227672,227674,0,0,216
227674,227672,0,0,193
227678,226232,0,0,152
227957,220614,0,0,195
227970,225931,0,0,575
228050,227506,0,0,287
228083,239494,0,0,470
228110,228376,0,0,350
228529,206879,0,0,2528
228694,220643,0,0,380
228887,40214,0,0,1096
